country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","16-12-2025 15:00:00",25.567520,83.966379,OZONE,2,93,32
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","16-12-2025 15:00:00",25.7808257,84.7446768,NH3,5,9,7
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","16-12-2025 15:00:00",24.762518,84.982348,OZONE,14,39,23
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","16-12-2025 15:00:00",25.697189,85.245900,NO2,39,60,46
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","16-12-2025 15:00:00",11.654054,92.734055,OZONE,1,13,1
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","16-12-2025 15:00:00",16.5150833,80.5181667,PM2.5,98,311,197
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","16-12-2025 15:00:00",16.5150833,80.5181667,CO,27,68,39
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,NO2,19,23,23
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","16-12-2025 15:00:00",14.675886,77.593027,OZONE,24,74,53
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","16-12-2025 15:00:00",26.181742,91.78063,SO2,33,36,35
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","16-12-2025 15:00:00",26.349082,92.68449,PM2.5,68,183,115
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","16-12-2025 15:00:00",26.349082,92.68449,NO2,1,1,1
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","16-12-2025 15:00:00",26.349082,92.68449,OZONE,7,9,9
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","16-12-2025 15:00:00",26.446912,91.439057,NO2,14,15,14
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","16-12-2025 15:00:00",26.071318,91.87488,CO,28,64,54
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","16-12-2025 15:00:00",26.10887,91.589544,PM10,48,150,115
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","16-12-2025 15:00:00",26.187500,91.744194,PM2.5,50,257,123
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","16-12-2025 15:00:00",26.187500,91.744194,CO,17,80,33
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","16-12-2025 15:00:00",13.615387,79.409230,PM10,65,74,69
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","16-12-2025 15:00:00",16.536107,80.594233,PM10,53,85,67
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","16-12-2025 15:00:00",16.536107,80.594233,NH3,3,3,3
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","16-12-2025 15:00:00",16.486692,80.699436,PM10,29,52,43
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","16-12-2025 15:00:00",14.465052,78.824187,CO,29,48,41
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","16-12-2025 15:00:00",16.9872867,81.7363176,PM2.5,144,321,248
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","16-12-2025 15:00:00",16.9872867,81.7363176,PM10,125,207,161
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","16-12-2025 15:00:00",26.987634,94.636574,NO2,30,51,40
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","16-12-2025 15:00:00",26.987634,94.636574,NH3,4,25,12
